//X Y Z Scalar_field
50032
27.47399521 116.47492981 1.19078159 -2040.000000
27.46303177 116.49306488 1.19614887 -2039.000000
27.46278763 116.48581696 1.19761324 -2038.000000
27.29607391 116.40950012 1.19656229 -2038.000000
27.30937958 116.39657593 1.20682001 -2040.000000
27.30612564 116.40653992 1.20974970 -2037.000000
27.29107285 116.42117310 1.19900179 -2036.000000
27.43955994 116.51586151 1.19858217 -2027.000000
27.42515945 116.50874329 1.20248175 -2038.000000
27.43947983 116.47373962 1.20053244 -2035.000000
27.43517685 116.48471832 1.20346069 -2037.000000
27.43798065 116.48200226 1.19906759 -2033.000000
27.44242096 116.48517609 1.19906950 -2027.000000
27.44607162 116.49525452 1.19809437 -2027.000000
27.44301987 116.49139404 1.19809294 -2030.000000
27.43436813 116.49299622 1.20150757 -2031.000000
27.43310928 116.50851440 1.19857931 -2022.000000
27.43006516 116.50399017 1.19857740 -2031.000000
27.44346619 116.48414612 1.21029997 -2038.000000
27.42785263 116.51362610 1.20199490 -2038.000000
27.42974854 116.52608490 1.20004272 -2038.000000
27.46152878 116.50132751 1.19419575 -2033.000000
27.45487595 116.50778961 1.19712305 -2034.000000
27.44807053 116.50079346 1.19711971 -2034.000000
27.44866562 116.50701904 1.19614363 -2037.000000
27.45476151 116.51539612 1.19565868 -2036.000000
27.42845535 116.51984406 1.20101881 -2039.000000
27.43805313 116.52481842 1.19662905 -2037.000000
27.43545914 116.51304626 1.19809103 -2027.000000
27.44940186 116.52809143 1.19272661 -2037.000000
27.44215775 116.52764130 1.19663095 -2034.000000
27.44239426 116.53488922 1.19565439 -2035.000000
27.42999268 116.53265381 1.19906712 -2037.000000
27.43374634 116.53581238 1.19906855 -2037.000000
27.44264603 116.54146576 1.19419003 -2037.000000
27.43317795 116.55133820 1.19613981 -2031.000000
27.43048477 116.54647064 1.19662714 -2036.000000
27.45868683 116.55446625 1.19468546 -2028.000000
27.44533920 116.54633331 1.19370317 -2037.000000
27.44583893 116.55946350 1.19175148 -2036.000000
27.44138718 116.55698395 1.19126034 -2036.000000
27.45193100 116.56784058 1.19663715 -2032.000000
27.44747925 116.56535339 1.19614649 -2030.000000
27.45672989 116.57067108 1.19175673 -2038.000000
27.45228195 116.56749725 1.19126558 -2038.000000
27.38024521 116.58233643 1.19758415 -2041.000000
27.42722321 116.55712128 1.19955540 -2028.000000
27.41751480 116.55974579 1.19711018 -2036.000000
27.41202164 116.55759430 1.20199108 -2040.000000
27.40747070 116.56200409 1.19515324 -2040.000000
27.44092178 116.56491852 1.19516754 -2032.000000
27.43577194 116.56311035 1.19467592 -2036.000000
27.43518448 116.55620575 1.19565248 -2034.000000
27.44797134 116.57917023 1.19419432 -2035.000000
27.41895294 116.57944489 1.20492363 -2040.000000
27.42397308 116.56708527 1.19711304 -2035.000000
27.42831421 116.57715607 1.19613934 -2033.000000
27.42176056 116.57672882 1.19516039 -2032.000000
27.41695404 116.57458496 1.20003986 -2038.000000
27.43300629 116.58689880 1.19516563 -2034.000000
27.43416977 116.57828522 1.19711828 -2034.000000
27.41405869 116.58420563 1.19759846 -2034.000000
27.41009521 116.59555817 1.19515657 -2026.000000
27.43009567 116.59722137 1.19272232 -2036.000000
27.41629791 116.59632874 1.19613504 -2036.000000
27.40273666 116.60269165 1.20296574 -2025.000000
27.41584015 116.60427094 1.19467020 -2036.000000
27.41714096 116.60980988 1.19369507 -2034.000000
27.52546692 116.54404449 1.23035812 -1934.000000
27.51576996 116.54665375 1.20154476 -1999.000000
27.51717758 116.54529572 1.19666338 -2014.000000
27.54617310 116.54502869 1.22841358 -2037.000000
27.53576660 116.54833221 1.22596741 -2038.000000
27.54680252 116.57301331 1.22890377 -2038.000000
27.54035568 116.56497955 1.22938824 -2019.000000
27.53590775 116.56249237 1.22889853 -2039.000000
27.50440216 116.61556244 1.22986555 -2040.000000
27.47956085 116.59067535 1.22448254 -1954.000000
27.50175095 116.56096649 1.20153999 -1850.000000
27.49544144 116.56708527 1.21520996 -1887.000000
27.50069809 116.56198120 1.20642281 -1735.000000
27.49789429 116.56469727 1.21081686 -1766.000000
27.49193954 116.57048798 1.21960354 -1899.000000
27.48212051 116.58070374 1.22155285 -1914.000000
27.51074600 116.55902863 1.23035240 -1954.000000
27.52584839 116.56545258 1.22645378 -2027.000000
27.51884079 116.57226563 1.22937965 -2032.000000
27.53885651 116.57324219 1.22743559 -2040.000000
27.52223206 116.57644653 1.22938156 -2036.000000
27.50914001 116.57487488 1.22205210 -2032.000000
27.52518463 116.58720398 1.22791958 -2031.000000
27.51898575 116.58642578 1.22693968 -2018.000000
27.47476959 116.58784485 1.22399092 -1919.000000
27.49967575 116.58475494 1.22400141 -2032.000000
